Geography,Total - Private households,Median 2005 household income $,Median 2005 after-tax household income $,Average 2005 household income $,Standard error of average household income $,Average 2005 after-tax household income $,Standard error of average after-tax household income $
Grand Falls (1312016) P 00000,435,43490,38060,49102,3165,42641,2441
Grand Falls / Grand-Sault (1312019) TV 00000,2380,38589,35078,49248,1585,42511,1222
Drummond (1312021) P 00010,805,45727,40836,49080,2013,42971,1594
Drummond (1312023) VL 00000,330,42988,39020,47795,3451,41977,2800
Madawaska (1313)   01000,14340,42709,37768,49796,579,42935,457
Saint-André (1313001) P 00000,595,47948,42662,53626,2729,46027,2101
St. André (1313003) VL 00000,145,48226,42479,56088,5417,48187,4242
Saint-Léonard (1313004) P 00000,385,45677,40909,50633,2978,44098,2304
St. Leonard (1313006) T 00000,540,33285,30936,40904,2615,36110,2114
Notre-Dame-de-Lourdes (1313008) P 01010,115,49975,41457,45209,3274,40387,2916
Sainte-Anne (1313011) P 01010,430,36872,35499,46576,3406,41288,2806
Sainte-Anne-de-Madawaska (1313012) VL 01010,435,36646,34384,44817,2976,39439,2480
Rivière-Verte (1313014) VL 00010,350,31767,30231,39188,2550,34825,2066
Rivière-Verte (1313015) P 01000,340,36680,33950,40448,2709,35564,2136
Saint-Basile (1313018) P 01000,310,47973,40277,50943,3273,44465,2560
St. Basile 10 (1313020) IRI 00010,0,0,0,0,0,0,0
Saint-Joseph (1313022) P 01000,670,47351,42067,48671,2443,42018,1918
Saint-Jacques (1313024) P 01000,660,46347,42039,53897,3012,46461,2472
Edmundston (1313027) CY 00000,7385,42551,37154,51146,885,43583,690
Saint-Hilaire (1313032) P 00000,190,53778,48770,61149,5064,52891,4161
St. Hilaire (1313033) VL 01010,0,0,0,0,0,0,0
Baker Brook (1313034) P 01000,0,0,0,0,0,0,0
Baker Brook (1313035) VL 00000,220,37983,33617,43241,3260,37876,2692
Lac-Baker (1313036) P 02010,255,53676,46587,55282,4255,47689,3463
Lac Baker (1313037) VL 01010,0,0,0,0,0,0,0
Clair (1313038) P 00000,105,77294,64249,71027,5172,61953,4366
Clair (1313039) VL 01010,355,37352,35919,45223,3587,39801,2805
Saint-François (1313041) P 01000,290,47460,42485,53265,4088,47111,3277
Saint-François de Madawaska (1313042) VL 00000,250,42685,38925,43539,1949,38961,1661
Restigouche (1314)   00000,14160,38033,34822,47201,619,40818,478
Durham (1314001) P 00000,570,28192,26455,35698,2441,31601,1876
Colborne (1314003) P 01000,0,0,0,0,0,0,0
Charlo (1314004) VL 00000,605,55211,45971,60835,3211,50622,2454
Balmoral (1314005) P 00000,245,34663,29817,39064,3210,34756,2641
Balmoral (1314006) VL 00000,650,44845,40172,54802,3408,46798,2324
Dalhousie (1314008) P 00000,925,46609,42029,58079,2809,49777,2320
Eel River 3 (1314010) IRI 00000,130,21568,21312,28743,0,27836,0
Eel River Crossing (1314011) VL 01010,485,42411,41032,46784,2606,40977,2082
Addington (1314012) P 01000,1040,37279,33997,44706,1806,39948,1482
Atholville (1314013) VL 00000,550,39625,37696,49672,4027,42888,2843
Campbellton (1314014) CY 00000,3160,35168,31765,45803,1403,39373,1072
Tide Head (1314015) VL 00000,420,59648,49637,68534,4247,57244,3229
Eldon (1314016) P 01010,360,25587,24671,33154,2675,30006,2301
Dalhousie (1314017) T 00001,1665,38782,35649,48850,1902,41489,1443
Grimmer (1314018) P 01010,440,37213,34872,41556,2535,37397,2109
Kedgwick (1314019) VL 01000,495,34653,31849,43152,2713,37849,2204
Saint-Quentin (1314021) P 00110,595,41384,37110,44739,2611,39449,2251
Saint-Quentin (1314022) TV 00000,925,37547,34097,42597,2110,37468,1690
Belledune (1314025) VL 01000,765,32726,30688,44318,3102,37784,2309
Indian Ranch (1314026) IRI 01011,0,0,0,0,0,0,0
Gloucester (1315)   00000,32335,40028,36047,49071,453,41870,335
Saumarez (1315001) P 00000,2615,39462,35992,44583,1159,39270,925
Tracadie-Sheila (1315003) TV 00000,1830,39887,36345,51137,2235,43343,1641
Allardville (1315006) P 00010,845,38572,35347,42112,1884,37038,1514
Bathurst (1315008) P 00000,1995,52487,45518,62033,2051,51413,1509
Pabineau 11 (1315010) IRI 01010,0,0,0,0,0,0,0
Bathurst (1315011) CY 01010,5565,39492,35541,51634,1225,43111,887
Beresford (1315012) P 00000,2445,45901,40131,52272,1413,44311,1082
Pointe-Verte (1315013) VL 01010,405,40238,36772,44879,2612,38859,2018
Petit Rocher (1315014) VL 00000,810,42709,37852,49658,2341,41980,1822
Beresford (1315015) TV 01001,1750,45838,40707,54558,1775,45950,1337
New Bandon (1315016) P 01000,605,39440,34525,46450,2952,40444,2281
Saint-Léolin (1315017) VL 00000,305,33453,30961,42949,4008,37963,3369
Paquetville (1315019) P 00000,1020,30082,28558,34357,1694,31032,1402
Paquetville (1315020) VL 00010,275,34040,33839,49174,5894,40639,3910
Saint-Isidore (1315021) P 00000,650,30907,26745,36814,2132,32759,1737
Saint-Isidore (1315022) VL 00000,315,49260,42763,52264,3781,43825,2836
Inkerman (1315024) P 00010,1640,34657,31708,45649,3068,39257,2049
Caraquet (1315026) P 01000,600,39145,34807,46141,2513,40417,2043
Bas-Caraquet (1315027) VL 00010,600,37793,34929,42008,2462,37169,1966
Caraquet (1315028) T 00000,1795,43546,37949,53473,2117,45115,1573
Shippagan (1315029) P 01001,2225,38115,34628,44663,1439,38972,1107
Le Goulet (1315030) VL 00000,325,49105,44808,57507,4907,50180,3783
Shippagan (1315031) T 01011,1120,40547,36713,56180,2881,46755,2139
Lamèque (1315032) TV 00000,570,42917,36073,50460,3868,42585,2649
Sainte-Marie - Saint-Raphaël (1315033) VL 00000,400,38668,34188,41934,3030,36883,2444
Bertrand (1315036) VL 00000,535,33354,30266,41634,2624,36673,2065
Nigadoo (1315037) VL 00001,370,43357,41226,51719,3060,43631,2238
Grande-Anse (1315038) VL 00000,345,32537,29767,40067,3039,35380,2453
Maisonnette (1315040) VL 01000,295,26112,25472,32192,2292,28958,1889
Quebec / Québec (24)   21010,3189340,46419,40447,58954,82,48789,55
Les Îles-de-la-Madeleine (2401)   01010,5190,47914,42973,54270,1154,46523,834
Les Îles-de-la-Madeleine (2401023) MÉ 01011,4970,47539,42558,54151,1192,46430,860
Grosse-Île (2401042) MÉ 01021,215,58716,48868,57000,4038,48661,3103
Le Rocher-Percé (2402)   01010,7895,36080,32830,44554,969,38971,694
Percé (2402005) V 01010,1530,33973,30202,39019,1397,34812,1129
Sainte-Thérèse-de-Gaspé (2402010) MÉ 01000,460,38028,35189,46203,3854,40275,2796
Grande-Rivière (2402015) V 01010,1465,36182,33688,42539,2044,37573,1450
Chandler (2402028) V 01011,3360,38500,35795,49427,1841,42538,1285
Port-Daniel--Gascons (2402047) MÉ 01001,1080,30719,29904,39248,1754,35091,1373
La Côte-de-Gaspé (2403)   00000,7290,43255,38554,51624,865,44700,669
Gaspé (2403005) V 00000,5970,44266,39382,52853,973,45559,745
Cloridorme (2403010) CT 01000,340,36436,33677,42017,2703,37751,2153
Petite-Vallée (2403015) MÉ 02020,0,0,0,0,0,0,0
Grande-Vallée (2403020) MÉ 01010,500,38112,34156,47975,3053,43114,2757
Murdochville (2403025) V 01000,370,37272,34236,45756,3731,39678,2702
La Haute-Gaspésie (2404)   01000,5290,31655,29622,40349,831,35704,664
Sainte-Madeleine-de-la-Rivière-Madeleine (2404005) MÉ 01010,175,31267,29100,35348,3137,32266,2705
Saint-Maxime-du-Mont-Louis (2404010) MÉ 01000,515,30362,29974,35141,1851,32299,1532
Mont-Saint-Pierre (2404015) VL 02020,0,0,0,0,0,0,0
Rivière-à-Claude (2404020) MÉ 02000,0,0,0,0,0,0,0
Marsoui (2404025) VL 01010,140,49071,45415,53659,4684,45835,3775
La Martre (2404030) MÉ 01000,100,48517,41349,46166,6587,40358,5341
Sainte-Anne-des-Monts (2404037) V 01000,2890,31915,29718,41424,1201,36327,949
Cap-Chat (2404047) V 01000,1180,31051,27415,39946,1732,35487,1414
Mont-Albert (2404902) NO 00000,0,0,0,0,0,0,0
Bonaventure (2405)   01010,7520,41065,36903,48364,1011,42125,739
Shigawake (2405010) MÉ 01010,150,30004,30004,37046,3949,32705,2966
Saint-Godefroi (2405015) CT 01010,170,35732,33857,40634,5621,35585,4431
Hope Town (2405020) MÉ 00010,145,39626,35018,51269,6389,44847,5056
Hope (2405025) CT 01010,345,36620,33485,46874,3358,41238,2675
Paspébiac (2405032) V 01010,1305,40355,38228,51213,4269,44113,2820
New Carlisle (2405040) MÉ 00000,565,36924,34203,49933,3464,42354,2432
Bonaventure (2405045) V 01000,1115,44087,37521,51604,2213,44997,1891
Saint-Elzéar (2405050) MÉ 01010,205,35979,33258,43734,3942,38839,3160
Saint-Siméon (2405055) PE 01000,500,44310,39595,47332,2729,41336,2161
Caplan (2405060) MÉ 01010,845,35017,34377,41853,1921,37321,1554
Saint-Alphonse (2405065) MÉ 01000,290,44230,40488,45354,2945,40679,2445
New Richmond (2405070) V 01010,1555,45664,40691,50662,1672,43807,1330
Cascapédia--Saint-Jules (2405077) MÉ 01020,310,42956,37589,46596,3024,41140,2536
Avignon (2406)   21010,6145,39456,35575,47594,791,41471,608
Maria (2406005) MÉ 01000,980,48263,42478,61437,3266,51346,2361
Carleton-sur-Mer (2406013) V 01010,1750,43160,39256,52269,1971,44795,1505
Nouvelle (2406020) MÉ 01020,760,42364,37867,45225,1787,39655,1428
Escuminac (2406025) MÉ 01010,275,34201,33069,39007,3000,34912,2546
Pointe-à-la-Croix (2406030) MÉ 01000,670,35560,35413,43422,2312,38279,1832
Ristigouche-Partie-Sud-Est (2406035) CT 02010,0,0,0,0,0,0,0
Saint-André-de-Restigouche (2406040) MÉ 01010,0,0,0,0,0,0,0
Matapédia (2406045) PE 01010,310,36396,30977,57816,6283,48635,4823
Saint-Alexis-de-Matapédia (2406050) MÉ 01000,270,28198,26713,32884,2484,30092,2065
Saint-François-d'Assise (2406055) MÉ 01000,315,35645,31520,38338,2345,34552,1982
L'Ascension-de-Patapédia (2406060) MÉ 01000,0,0,0,0,0,0,0
Listuguj (2406804) IRI 00010,570,25440,25440,31193,0,30790,0
La Matapédia (2407)   01000,7970,36550,33626,42647,677,37572,538
Sainte-Marguerite (2407005) MÉ 01020,0,0,0,0,0,0,0
Sainte-Florence (2407010) MÉ 00000,205,29649,27497,34765,2729,31266,2269
Causapscal (2407018) V 01010,1080,34262,31722,39364,1611,35218,1320
Albertville (2407025) MÉ 00000,130,39187,34840,37337,4146,33894,3597
Saint-Léon-le-Grand (2407030) PE 01010,410,38442,35651,42896,2579,37773,2048
Saint-Zénon-du-Lac-Humqui (2407035) PE 02020,180,28177,23859,28138,2231,26425,2014
Sainte-Irène (2407040) PE 02000,145,39029,33728,39775,3496,35710,2942
Amqui (2407047) V 00000,2685,40733,37000,47355,1248,41145,983
Lac-au-Saumon (2407057) MÉ 01010,540,37988,34927,43154,2393,38663,2016
Saint-Alexandre-des-Lacs (2407065) PE 01010,115,26275,26275,33976,2947,31750,2508
Saint-Tharcisius (2407070) PE 01000,185,31089,29937,31075,2765,28988,2470
Saint-Vianney (2407075) MÉ 01010,215,39898,35845,42062,3264,37001,2624
Val-Brillant (2407080) MÉ 01010,425,43730,39424,46197,2956,40363,2348
Sayabec (2407085) MÉ 01000,790,32951,30375,42982,2462,37279,1928
Saint-Cléophas (2407090) PE 01010,135,38353,37719,50047,7732,43260,5450
Saint-Moïse (2407095) PE 01000,270,24200,23766,36114,3970,31981,3166
Saint-Noël (2407100) VL 00000,185,29420,28759,38000,5564,33796,4392
Saint-Damase (2407105) PE 01000,165,47239,41453,40843,3568,36223,2961
Matane (2408)   01000,10045,36423,33485,45058,677,38988,523
Les Méchins (2408005) MÉ 01000,545,29257,27270,34749,1931,31216,1536
Saint-Jean-de-Cherbourg (2408010) PE 02020,0,0,0,0,0,0,0
Grosses-Roches (2408015) MÉ 01010,190,29337,28962,31610,3063,29563,2735
Sainte-Félicité (2408023) MÉ 01000,495,34300,32421,38424,2475,34170,1935
Saint-Adelme (2408030) PE 02010,215,32555,29867,35051,3162,31640,2576
Saint-René-de-Matane (2408035) MÉ 01011,465,31294,29437,41033,2855,36099,2121
Sainte-Paule (2408040) MÉ 01100,0,0,0,0,0,0,0
Matane (2408053) V 00001,6735,37718,34042,46762,870,40181,671
Saint-Léandre (2408065) PE 00000,175,33475,30588,42963,4527,37582,3531
Saint-Ulric (2408073) MÉ 01010,750,44816,37457,52072,2674,44145,2033
Baie-des-Sables (2408080) MÉ 01010,260,38832,35444,41073,2725,36730,2191
La Mitis (2409)   01010,8200,37391,33821,46171,1485,39801,919
La Rédemption (2409005) PE 01000,215,28348,28255,32874,2924,29999,2388
Saint-Charles-Garnier (2409010) PE 00000,120,33760,33545,36912,4770,34011,4076
Les Hauteurs (2409015) MÉ 01010,225,24394,24394,30287,3003,27874,2534
Sainte-Jeanne-d'Arc (2409020) PE 01010,135,26826,25903,41800,6468,36501,5136
Saint-Gabriel-de-Rimouski (2409025) MÉ 01000,475,45598,39750,45904,2414,40102,1890
Saint-Donat (2409030) PE 01010,380,42794,35971,88188,28359,63006,15759
Sainte-Angèle-de-Mérici (2409035) MÉ 01000,455,35930,32804,40968,2693,36202,2153
Padoue (2409040) MÉ 00000,115,44177,40752,38866,3078,35905,2742
Métis-sur-Mer (2409048) V 02011,275,38298,33874,46509,3809,40439,3005
Saint-Octave-de-Métis (2409055) PE 00000,195,38287,35983,41646,2695,37691,2216
Grand-Métis (2409060) MÉ 01010,0,0,0,0,0,0,0
Price (2409065) VL 00010,730,34295,32116,38258,1816,34439,1500
Saint-Joseph-de-Lepage (2409070) PE 00000,205,52682,44510,55259,4090,47671,3316
Mont-Joli (2409077) V 01011,2920,35081,31813,43617,1190,38065,947
Sainte-Flavie (2409085) PE 01010,405,41072,38504,51640,3555,44443,2716
Sainte-Luce (2409092) MÉ 00011,1215,43033,38200,51662,2354,44584,1934
Rimouski-Neigette (2410)   00000,23190,43616,38314,53803,619,45364,451
Esprit-Saint (2410005) MÉ 01020,170,31343,28399,32259,2976,29927,2656
La Trinité-des-Monts (2410010) PE 02000,135,27017,27017,35608,4611,32843,4107
Saint-Narcisse-de-Rimouski (2410015) PE 02020,460,38296,35943,43797,2684,39330,2176
Saint-Marcellin (2410025) PE 01010,165,29842,29842,33458,3569,30073,3085
Saint-Anaclet-de-Lessard (2410030) PE 00000,1065,55607,45952,58924,2195,50412,1741
Rimouski (2410043) V 00001,18660,43848,38268,54727,727,45857,525
Saint-Valérien (2410060) PE 01020,310,45136,39709,44277,2853,38847,2287
Le Bic (2410065) MÉ 00000,1220,50126,42509,57674,2199,48817,1684
Saint-Fabien (2410070) PE 01010,820,36521,33746,43515,2438,38097,1873
Saint-Eugène-de-Ladrière (2410075) PE 01010,170,34783,33828,43646,4045,39188,3317
Les Basques (2411)   01000,4100,34859,31717,41792,966,36797,758
Saint-Clément (2411005) PE 00000,210,36932,35894,44136,4888,39643,4060
Saint-Jean-de-Dieu (2411010) MÉ 00000,685,36016,32833,39759,1863,35573,1536
Sainte-Rita (2411015) MÉ 01010,145,28483,28355,32513,3191,30357,2864
Saint-Guy (2411020) MÉ 02020,0,0,0,0,0,0,0
Saint-Médard (2411025) MÉ 01000,115,27556,24609,33531,4870,30688,4164
Sainte-Françoise (2411030) PE 01000,200,24041,23867,30691,2965,28570,2403
Saint-Éloi (2411035) PE 00000,130,44472,42663,43748,4012,39865,3602
Trois-Pistoles (2411040) V 00000,1580,33939,31496,41002,1659,35851,1295
Notre-Dame-des-Neiges (2411045) MÉ 01010,505,47059,40652,54073,3358,46034,2490
Saint-Mathieu-de-Rioux (2411050) PE 01020,295,41574,35273,43935,2760,38476,2233
Saint-Simon (2411055) PE 01010,190,32732,32656,41544,4771,35634,3325
Rivière-du-Loup (2412)   01000,14140,42796,38300,50948,670,43561,505
Saint-Cyprien (2412005) MÉ 01000,455,42938,39027,44963,2654,40038,2195
Saint-Hubert-de-Rivière-du-Loup (2412010) MÉ 01010,565,38049,36958,45024,2929,39136,2201
Saint-Antonin (2412015) PE 00000,1465,51951,44744,54668,1600,47080,1296
Saint-Modeste (2412020) PE 01000,355,50962,44679,53793,2881,46945,2329
Saint-François-Xavier-de-Viger (2412025) MÉ 01010,125,39158,36698,39383,3913,35413,3333
Saint-Épiphane (2412030) MÉ 01010,365,33242,30325,45464,3455,39543,2587
Saint-Paul-de-la-Croix (2412035) PE 00000,165,29624,25016,33553,3869,30653,3247
L'Isle-Verte (2412043) MÉ 00000,625,35088,32558,40331,2095,35611,1673
Notre-Dame-des-Sept-Douleurs (2412045) PE 02000,0,0,0,0,0,0,0
Saint-Georges-de-Cacouna (2412055) VL 01010,520,38446,35690,48227,3346,41473,2547
Saint-Georges-de-Cacouna (2412060) PE 01010,270,56213,45557,64171,7178,53308,4420
Saint-Arsène (2412065) PE 00000,420,55985,47443,51560,2884,44991,2401
Rivière-du-Loup (2412072) V 01000,8235,42198,37388,50428,848,42930,649
Notre-Dame-du-Portage (2412080) MÉ 01000,540,56312,48496,78916,7291,63716,5114
Témiscouata (2413)   01000,9115,37436,34627,44421,686,38884,525
Dégelis (2413005) V 01000,1325,40360,37647,48291,2035,41668,1491
Saint-Jean-de-la-Lande (2413010) MÉ 01010,130,33962,33962,36553,4018,33636,3586
Packington (2413015) PE 01210,255,38422,34308,47607,5808,41072,4172
Saint-Marc-du-Lac-Long (2413020) PE 01010,210,38663,34046,40258,3013,36260,2516
Rivière-Bleue (2413025) MÉ 01000,615,29194,26666,38262,2254,34098,1796
Saint-Eusèbe (2413030) PE 00000,240,35093,34175,43705,4387,37880,3295
Notre-Dame-du-Lac (2413035) V 01010,885,43729,39937,57380,2924,48119,2126
Saint-Juste-du-Lac (2413040) MÉ 01000,270,33221,31876,36351,2402,33472,2046
Auclair (2413045) MÉ 01010,210,36954,33958,35177,2469,32634,2148
Lejeune (2413050) MÉ 01000,145,33411,33101,35497,3466,32152,2845
Biencourt (2413055) MÉ 01010,265,26874,24780,34375,2735,31584,2338
Lac-des-Aigles (2413060) MÉ 01010,250,27512,27365,36099,2974,32411,2428
Saint-Michel-du-Squatec (2413065) PE 01000,515,37906,35333,36879,1956,33654,1672
Cabano (2413070) V 00000,1395,37348,33890,47752,1934,40583,1455
Saint-Pierre-de-Lamy (2413075) MÉ 02000,0,0,0,0,0,0,0
Saint-Louis-du-Ha! Ha! (2413080) PE 00000,535,40928,37354,49036,2702,42725,2124
Saint-Elzéar-de-Témiscouata (2413085) MÉ 01010,130,35670,34232,39690,3567,35821,3058
Saint-Honoré-de-Témiscouata (2413090) MÉ 01000,330,36347,35386,41618,2750,37308,2240
Pohénégamook (2413095) V 01000,1205,38347,35564,42402,1538,37926,1276
Saint-Athanase (2413100) MÉ 01010,125,38924,35850,41860,5448,37866,4481
Kamouraska (2414)   01010,8970,43505,38359,49351,721,42836,564
Mont-Carmel (2414005) MÉ 01010,510,39326,37482,42397,2493,37344,1943
Saint-Bruno-de-Kamouraska (2414010) MÉ 01000,210,42866,37045,41312,3061,37081,2466
Saint-Pascal (2414018) V 01010,1500,40839,36241,48274,1763,41880,1343
Sainte-Hélène (2414025) PE 00000,350,43788,39496,44834,2529,39992,2164
Saint-Joseph-de-Kamouraska (2414030) PE 00000,155,38142,36607,50096,4115,43536,3174
Saint-Alexandre-de-Kamouraska (2414035) MÉ 01000,730,41258,36076,46514,1892,40689,1568
Saint-André (2414040) MÉ 00000,270,45950,41691,48261,4280,41747,3336
Saint-Germain (2414045) PE 00010,120,49022,43134,50290,5168,44024,4177
Kamouraska (2414050) MÉ 01000,305,43525,39531,49345,3964,43035,3126
Saint-Denis (2414055) PE 02000,220,39192,36500,50514,5812,45072,4972
Saint-Philippe-de-Néri (2414060) PE 00000,370,36051,33189,42590,2443,37803,1997
Rivière-Ouelle (2414065) MÉ 01010,435,39738,35952,47072,2810,42396,2392
Saint-Pacôme (2414070) MÉ 00010,645,46077,40040,50274,2451,43769,1953
Saint-Gabriel-Lalemant (2414075) MÉ 01010,320,33924,31809,44096,3442,39365,2838
Saint-Onésime-d'Ixworth (2414080) PE 01010,235,37820,35170,44330,3607,38958,2900
La Pocatière (2414085) V 01010,1925,45349,39183,53251,1900,45214,1459
Sainte-Anne-de-la-Pocatière (2414090) PE 00000,670,59868,49759,62129,2929,52371,2197
Charlevoix-Est (2415)   01010,6790,45905,40780,52928,947,45302,715
Saint-Irénée (2415005) PE 01020,310,54728,45994,65058,5660,53569,4077
La Malbaie (2415013) V 01010,3700,45301,39955,52416,1324,44703,972
Notre-Dame-des-Monts (2415025) MÉ 01000,295,50651,47491,52596,3993,45384,3216
Saint-Aimé-des-Lacs (2415030) MÉ 01000,430,45110,40391,52513,3617,45892,3027
Clermont (2415035) V 00000,1315,45906,41718,53936,2180,46074,1708
Saint-Siméon (2415058) MÉ 01011,535,46320,40374,49822,2346,43914,1926
Baie-Sainte-Catherine (2415065) MÉ 00010,0,0,0,0,0,0,0
Sagard (2415904) NO 02000,0,0,0,0,0,0,0
Charlevoix (2416)   01010,5420,43201,38881,50273,949,43385,725
Petite-Rivière-Saint-François (2416005) MÉ 00000,280,57616,47358,66269,6496,54976,4724
Baie-Saint-Paul (2416013) V 01000,3030,44108,39019,50577,1266,43509,969
L'Isle-aux-Coudres (2416023) MÉ 01010,560,39866,38157,47831,2552,41273,1960
Les Éboulements (2416048) MÉ 01001,510,42892,37518,48553,3287,41876,2422
Saint-Hilarion (2416050) PE 01010,455,38545,36222,46644,2773,41237,2294
Saint-Urbain (2416055) PE 01010,580,43999,38965,47574,2111,42110,1719
L'Islet (2417)   01010,7900,41057,36616,46201,729,40371,575
Saint-Omer (2417005) MÉ 01000,150,37768,35980,44921,4516,39209,3571
Saint-Pamphile (2417010) V 01000,1135,44794,40115,47379,1795,40982,1377
Saint-Adalbert (2417015) MÉ 01010,235,32320,28822,39461,4765,34544,3553
Saint-Marcel (2417020) MÉ 02010,205,33918,32447,35623,3095,32946,2617
Sainte-Félicité (2417025) MÉ 01000,180,30808,30729,35744,2987,32765,2520
Sainte-Perpétue (2417030) MÉ 01010,755,40396,35704,43541,1807,38699,1463
Tourville (2417035) MÉ 01010,300,36974,33993,35933,2825,32633,2433
Saint-Damase-de-l'Islet (2417040) MÉ 01000,260,37524,35146,45751,4402,41020,3885
Saint-Cyrille-de-Lessard (2417045) PE 02010,350,43820,37777,41213,2464,36379,2118
Saint-Aubert (2417055) MÉ 01010,610,42701,36660,50384,3253,43398,2467
Sainte-Louise (2417060) PE 00000,290,33196,32940,41127,3049,36867,2511
Saint-Roch-des-Aulnaies (2417065) PE 01000,410,46592,37951,52465,3311,44302,2472
Saint-Jean-Port-Joli (2417070) MÉ 01010,1435,40905,36843,47993,2034,41501,1553
L'Islet (2417078) MÉ 01010,1580,43998,38742,49500,1571,43210,1289
Montmagny (2418)   01010,10005,39838,35923,46397,669,40474,526
Saint-Just-de-Bretenières (2418005) MÉ 01010,370,38874,33890,42196,3078,36956,2532
Lac-Frontière (2418010) MÉ 01020,0,0,0,0,0,0,0
Saint-Fabien-de-Panet (2418015) PE 01010,445,30098,28750,36620,2824,32736,2387
Sainte-Lucie-de-Beauregard (2418020) MÉ 01000,145,40004,37199,43018,4502,37985,3593
Sainte-Apolline-de-Patton (2418025) PE 02010,265,34639,31946,41989,3582,37863,2933
Saint-Paul-de-Montminy (2418030) MÉ 01000,380,33481,30960,37871,2677,33945,2177
Sainte-Euphémie-sur-Rivière-du-Sud (2418035) MÉ 02020,165,21968,21438,36195,3942,33109,3433
Notre-Dame-du-Rosaire (2418040) MÉ 02020,185,42855,37403,44217,4118,38254,3166
Cap-Saint-Ignace (2418045) MÉ 01010,1300,43989,38371,48062,1547,42100,1269
Montmagny (2418050) V 01000,5035,40235,35732,47055,992,40803,769
Saint-Pierre-de-la-Rivière-du-Sud (2418055) PE 01000,400,50466,42414,54585,3379,48057,2814
Saint-François-de-la-Rivière-du-Sud (2418060) MÉ 00000,615,40086,37405,47857,2602,41641,2047
Berthier-sur-Mer (2418065) MÉ 01010,540,45574,39679,56194,3781,47830,2805
Bellechasse (2419)   01001,13320,45983,40658,55075,2831,47109,1929
Saint-Philémon (2419005) PE 01000,340,27946,26034,38307,3361,34487,2872
Notre-Dame-Auxiliatrice-de-Buckland (2419010) PE 01020,340,37089,34645,39482,3104,34989,2586
Saint-Nazaire-de-Dorchester (2419015) PE 01000,145,44798,36606,44634,3999,40069,3399
Saint-Léon-de-Standon (2419020) PE 01010,515,35121,33747,40580,2102,36677,1740
Saint-Malachie (2419025) PE 01000,605,37369,34131,46900,2949,40745,2355
Saint-Damien-de-Buckland (2419030) PE 01000,790,45634,40534,56115,3352,47522,2488
Armagh (2419037) MÉ 01010,695,38351,35102,42316,2121,37194,1729
Saint-Nérée (2419045) PE 01020,330,34005,31927,42766,2978,37591,2339
Saint-Lazare-de-Bellechasse (2419050) MÉ 01010,440,55953,47354,55188,2989,48084,2420
Sainte-Claire (2419055) MÉ 00000,1275,49990,42562,81533,28666,65035,19396
Saint-Anselme (2419062) MÉ 00000,1230,47819,45498,56687,2092,49127,1667
Saint-Henri (2419068) MÉ 01000,1580,51103,44995,55885,1826,48267,1436
Honfleur (2419070) MÉ 00010,295,45287,40155,51173,3279,45249,2765
Saint-Gervais (2419075) MÉ 00000,695,45965,42781,52216,2700,45740,2178
Saint-Raphaël (2419082) MÉ 01010,960,40607,36941,46446,1927,40651,1548
La Durantaye (2419090) PE 01010,290,48828,44771,48369,3341,42309,2749
Saint-Charles-de-Bellechasse (2419097) MÉ 01010,830,47133,40348,52184,2134,45954,1754
Beaumont (2419105) MÉ 00010,855,64126,53406,70498,4083,58282,2790
Saint-Michel-de-Bellechasse (2419110) MÉ 01000,660,54293,46868,64536,4449,53089,3004
Saint-Vallier (2419117) MÉ 01000,435,42296,37976,46938,3302,41138,2673
L'Île-d'Orléans (2420)   01010,2860,55944,48809,69234,2292,56248,1575
Saint-François-de-l'Île-d'Orléans (2420005) MÉ 01000,245,51180,43062,53529,5180,45210,3714
Sainte-Famille (2420010) PE 01000,325,49919,45654,59958,4529,50071,3380
Saint-Jean-de-l'Île-d'Orléans (2420015) MÉ 01020,445,46325,40213,61498,5307,48907,3519
Saint-Laurent-de-l'Île-d'Orléans (2420020) MÉ 01010,670,57340,48823,73581,5819,59453,3900
Saint-Pierre-de-l'Île-d'Orléans (2420025) MÉ 00000,720,58220,50397,66587,3677,55605,2694
Sainte-Pétronille (2420030) VL 01000,450,70496,58990,90126,7078,70404,4731
La Côte-de-Beaupré (2421)   01010,9390,52207,45540,60868,954,51155,709
Saint-Tite-des-Caps (2421005) MÉ 01000,610,35648,34281,43591,2324,38566,1919
Saint-Ferréol-les-Neiges (2421010) MÉ 01000,1125,50515,43668,65682,3365,54324,2512
Saint-Joachim (2421020) PE 01000,555,46575,42186,55353,2788,47840,2228
Beaupré (2421025) V 00000,1225,46821,41567,55881,2210,47437,1711
Sainte-Anne-de-Beaupré (2421030) V 01010,1210,36855,32223,49079,2337,41786,1768
Château-Richer (2421035) V 01010,1525,51235,44422,54010,1733,46434,1388
L'Ange-Gardien (2421040) PE 01000,1200,54840,48653,59392,2156,50533,1682
Boischatel (2421045) MÉ 00000,1930,72548,62085,82018,2655,66599,1837
La Jacques-Cartier (2422)   01020,11230,65708,55531,72272,1059,59180,721
Sainte-Catherine-de-la-Jacques-Cartier (2422005) V 01010,1925,60262,50844,63964,1606,53221,1169
Fossambault-sur-le-Lac (2422010) V 02020,700,61627,51465,67984,3769,55116,2724
Lac-Saint-Joseph (2422015) V 02120,125,144845,118322,183089,28511,136327,19161
Shannon (2422020) MÉ 01000,1385,69565,56921,71112,1524,58495,1177
Lac-Delage (2422030) V 00010,205,75976,57712,74112,5662,60780,4360
